,card_number,expiry_date,card_provider,date_payment_confirmed
6078,378849332131097,02/29,American Express,2022-05-02
6079,38341189811510,10/29,Diners Club / Carte Blanche,2017-12-11
6080,340345490263744,05/23,American Express,2008-11-22
6081,180094515688625,06/24,JCB 15 digit,2007-06-05
6082,3558132370290850,05/24,JCB 16 digit,2000-02-20
6083,180018263495404,02/25,JCB 15 digit,2007-02-09
6084,4131794001747420,08/25,VISA 16 digit,2002-04-25
6085,2269360859280200,09/25,Mastercard,2001-08-13
6086,2458510652339440,10/32,Mastercard,2002-08-08
6087,3537861281106580,04/27,JCB 16 digit,2017-07-25
6088,373358421764128,08/29,American Express,2001-07-01
6089,4177114250417660,03/29,VISA 16 digit,2005-09-22
6090,4285372822690760000,06/25,VISA 19 digit,2011-10-02
6091,4196124657516760000,08/29,VISA 19 digit,2022-07-20
6092,340394107309359,01/29,American Express,1997-11-23
6093,4164152038378,09/26,VISA 13 digit,2018-06-15
6094,503843536890,09/26,Maestro,1996-09-21
6095,36295206879896,05/24,Diners Club / Carte Blanche,2019-07-07
6096,3556825064183250,04/32,JCB 16 digit,2016-01-31
6097,3584648087323020,03/29,JCB 16 digit,2020-09-08
6098,30254997518730,11/29,Diners Club / Carte Blanche,2020-06-03
6099,378718354694847,12/27,American Express,2021-10-07
6100,30189045924920,10/31,Diners Club / Carte Blanche,2008-03-31
6101,4422223081060,03/27,VISA 13 digit,1999-05-08
6102,4666177652646700000,10/27,VISA 19 digit,2007-04-28
6104,4842496712954680000,06/26,VISA 19 digit,2004-04-22
6105,4311362351105940,02/32,VISA 16 digit,2002-03-25
6106,4444694893186870000,06/26,VISA 19 digit,2021-05-19
6107,3515181376239900,12/24,JCB 16 digit,2004-01-17
6108,3585232697988980,05/28,JCB 16 digit,2018-08-14
6109,4133243443939,04/32,VISA 13 digit,2000-07-30
6110,2698609436888890,12/27,Mastercard,1998-08-28
6111,4717607622432580,09/32,VISA 16 digit,1999-12-30
6112,3559292598095960,07/23,JCB 16 digit,2021-03-05
6113,4263238446727590,02/29,VISA 16 digit,2013-09-20
6114,30348750209865,10/25,Diners Club / Carte Blanche,2014-11-02
6115,3599013160538400,01/28,JCB 16 digit,1996-01-22
6116,3564700695384220,06/24,JCB 16 digit,2018-03-01
6117,4663211023453,03/27,VISA 13 digit,2000-04-02
6118,3525544543482220,08/32,JCB 16 digit,1995-12-12
6119,4192941972769390000,05/26,VISA 19 digit,2013-04-07
6120,567038804629,11/22,Maestro,2008-11-21
6121,4029273104128850,05/26,VISA 16 digit,2010-09-07
6122,4909883917070290,02/28,VISA 16 digit,2006-06-25
6123,4782780779765160000,01/32,VISA 19 digit,2003-10-15
6124,4260816374548990,08/28,VISA 16 digit,2002-05-01
6125,562509173067,12/29,Maestro,2018-08-23
6126,213161759211389,01/26,JCB 15 digit,2016-06-29
6127,4942563719524,02/27,VISA 13 digit,2012-11-08
6128,6011404072905520,02/28,Discover,2002-01-19
6129,3544829853706760,01/23,JCB 16 digit,2005-08-14
6130,3548915452683330,08/30,JCB 16 digit,1996-01-17
6131,349911078889712,03/26,American Express,2013-12-31
6132,372601006654425,06/23,American Express,2019-01-25
6134,4031074782113370,09/32,VISA 16 digit,1999-10-14
6135,180031584465063,07/23,JCB 15 digit,2007-07-08
6136,6011681072327120,11/32,Discover,1998-10-10
6137,4863023100230,02/31,VISA 13 digit,1996-10-17
6138,5368492033214490,08/28,Mastercard,1994-02-28
6139,213162387682728,07/28,JCB 15 digit,1996-04-28
6140,4589071889606980,09/30,VISA 16 digit,2012-02-08
6141,4982398310446,04/31,VISA 13 digit,2016-07-15
6142,38353517816921,12/28,Diners Club / Carte Blanche,2021-11-03
6143,3552374402725830,01/29,JCB 16 digit,2013-10-30
6144,213187124935741,01/25,JCB 15 digit,2008-03-21
6145,6509393622312340,07/25,Discover,2011-07-15
6146,376466316179919,12/30,American Express,2007-02-06
6147,502055229301,12/31,Maestro,2016-09-10
6148,4731569986153170,09/29,VISA 16 digit,2000-06-25
6149,6510885292076540,05/23,Discover,2002-05-30
6150,2275932681147210,09/27,Mastercard,1994-06-25
6151,2274074067755050,12/24,Mastercard,1997-02-02
6152,4407796492118950000,07/24,VISA 19 digit,2005-12-07
6153,4756297100660120,08/27,VISA 16 digit,1993-10-19
6154,3582032496702470,01/24,JCB 16 digit,1999-02-25
6155,213186724042981,03/32,JCB 15 digit,2007-02-14
6156,3548866102448400,03/32,JCB 16 digit,2010-09-04
6157,3531420138700550,07/23,JCB 16 digit,2016-04-24
6158,6011491959199050,10/29,Discover,2003-11-03
6160,4073380431921560000,02/23,VISA 19 digit,2019-12-10
6161,4090536815175960000,09/28,VISA 19 digit,1998-12-16
6162,6532712713077590,04/23,Discover,2017-03-21
6163,30198068217609,09/31,Diners Club / Carte Blanche,2018-12-14
6164,3523325110216120,03/23,JCB 16 digit,2020-07-10
6165,3575946360956360,02/23,JCB 16 digit,2014-11-15
6166,6011151398997510,01/27,Discover,1999-11-25
6167,3589730927768900,04/23,JCB 16 digit,2010-03-17
6168,30086550921004,09/27,Diners Club / Carte Blanche,2002-04-03
6169,30328501901119,02/27,Diners Club / Carte Blanche,1998-02-01
6170,2258539568695350,06/30,Mastercard,2014-02-27
6171,4099937855938,10/23,VISA 13 digit,2000-02-13
6172,578447843314,10/28,Maestro,2001-01-02
6173,6595062012424850,02/25,Discover,2013-08-08
6174,676214895168,08/26,Maestro,2006-09-24
6175,3568337948787610,12/31,JCB 16 digit,2010-09-08
6176,503807830362,10/30,Maestro,2013-09-16
6177,371959273863231,04/29,American Express,2020-06-21
6178,4777941072034,01/32,VISA 13 digit,2005-07-13
6179,213153762916138,07/23,JCB 15 digit,2006-01-08
6180,4832711520016700,10/24,VISA 16 digit,2005-12-04
6181,4461843110443710000,08/27,VISA 19 digit,2017-02-17
6182,4573771601213610,05/25,VISA 16 digit,2009-03-07
6183,3511786749000650,04/29,JCB 16 digit,2007-03-11
6184,2230701755716300,11/24,Mastercard,2001-01-18
6185,30132632903972,05/26,Diners Club / Carte Blanche,2018-05-10
6186,30562691636719,06/31,Diners Club / Carte Blanche,2022-02-06
6187,343623836514344,03/27,American Express,2020-06-08
6188,6564485943380530,01/30,Discover,2012-11-29
6189,4401910156682790000,10/28,VISA 19 digit,2008-05-19
6190,2277230475822240,07/25,Mastercard,2000-09-10
6191,38792147549743,09/24,Diners Club / Carte Blanche,2015-12-03
6192,3513519435635320,06/25,JCB 16 digit,2019-12-01
6193,213162641868691,08/26,JCB 15 digit,2001-06-20
6194,2377091973678670,04/26,Mastercard,2015-08-23
6195,4619650530093,09/27,VISA 13 digit,2002-04-15
6196,373839736336090,02/32,American Express,2012-12-02
6197,4491615678031,04/29,VISA 13 digit,1998-10-23
6198,30560950991312,01/30,Diners Club / Carte Blanche,2015-11-13
6199,3549789048387150,02/23,JCB 16 digit,2021-06-18
6200,3547170257652600,12/26,JCB 16 digit,2013-02-09
6201,3598877408842390,04/30,JCB 16 digit,2012-01-24
6202,4395076715576970,09/25,VISA 16 digit,2001-09-07
6203,30169387024505,06/28,Diners Club / Carte Blanche,2020-10-08
6204,4334882826679080,06/24,VISA 16 digit,2003-12-27
6205,4214932191725840,05/26,VISA 16 digit,2007-06-04
6206,2434990121840840,03/31,Mastercard,2013-10-28
6207,4417034053685870000,07/25,VISA 19 digit,2001-01-16
6208,503822740570,05/25,Maestro,2010-03-25
6209,4506307998527520,08/30,VISA 16 digit,1996-10-08
6210,343010962396086,11/23,American Express,2001-01-26
6211,30010230127782,02/30,Diners Club / Carte Blanche,1995-12-31
6212,5455941259724740,09/25,Mastercard,2008-03-17
6213,2283323405315450,05/23,Mastercard,2002-03-18
6214,3509186588815450,09/26,JCB 16 digit,1998-01-12
6216,4078390266872700,09/32,VISA 16 digit,2014-06-16
6217,4334541002531940,02/31,VISA 16 digit,2018-02-16
6218,4069650508334140000,12/23,VISA 19 digit,2005-04-08
6219,4558992642190690,03/24,VISA 16 digit,2022-07-24
6220,3539196941337380,11/23,JCB 16 digit,2004-03-27
6221,345719340588317,03/25,American Express,2002-06-26
6222,5198984111698620,09/27,Mastercard,1996-10-24
6223,676193654040,11/30,Maestro,2019-06-22
6224,30384619054622,03/29,Diners Club / Carte Blanche,2000-08-08
6225,379380893238013,12/29,American Express,1999-08-18
6226,2704361462802500,07/26,Mastercard,2006-12-23
6227,3564779332175930,11/23,JCB 16 digit,2021-08-28
6228,639073026416,11/29,Maestro,2014-10-15
6229,2245279225597060,12/23,Mastercard,2000-12-06
6230,575370243249,01/28,Maestro,2005-11-12
6231,4145872556449050,10/30,VISA 16 digit,2019-02-27
6232,4423767212125890000,02/27,VISA 19 digit,2013-04-08
6233,4519912650869870000,10/29,VISA 19 digit,2010-09-27
6234,372296789917774,04/23,American Express,2021-08-07
6235,4998150981301940000,12/30,VISA 19 digit,2014-11-10
6236,3544644408776700,11/27,JCB 16 digit,2015-10-02
6238,213168226152674,01/28,JCB 15 digit,1996-12-15
6239,4903537175276,04/29,VISA 13 digit,1995-10-01
6240,4744935319027760000,09/30,VISA 19 digit,2007-05-09
6241,3541756038160650,11/31,JCB 16 digit,2016-04-21
6242,342801382759692,08/30,American Express,2004-01-09
6243,4923750646670,11/25,VISA 13 digit,2021-04-16
6244,6011462638031560,08/24,Discover,1996-09-13
6245,4162376914056240,05/29,VISA 16 digit,2016-08-27
6246,4898921970664,07/26,VISA 13 digit,2016-05-15
6247,5599514011984580,11/23,Mastercard,2015-07-13
6248,60483474411,04/25,Maestro,2017-10-31
6249,4085253435840110,11/23,VISA 16 digit,2017-02-22
6250,676116162626,03/30,Maestro,1997-01-08
6251,4818053753168550000,11/24,VISA 19 digit,2011-01-30
6252,4964835289431570000,06/24,VISA 19 digit,1997-05-12
6253,38539580954439,06/24,Diners Club / Carte Blanche,1996-08-23
6254,4618017375796,08/26,VISA 13 digit,2017-08-16
6255,4204814361804690,05/28,VISA 16 digit,2022-07-01
6256,4401392424276050,04/26,VISA 16 digit,2001-06-15
6257,4363967766165120,01/30,VISA 16 digit,2020-04-13
6258,3597507437935370,12/27,JCB 16 digit,2000-11-28
6259,4642956337338100,11/30,VISA 16 digit,2006-09-13
6260,4462114125113770000,05/31,VISA 19 digit,2000-03-10
6261,4285960739193130,11/27,VISA 16 digit,1999-04-29
6262,676244173453,06/31,Maestro,2004-04-11
6263,180017951598347,01/24,JCB 15 digit,1997-07-02
6264,4890048089791,11/27,VISA 13 digit,2011-07-06
6265,3599007042597110,10/24,JCB 16 digit,2007-11-18
6266,4884510373451540000,08/31,VISA 19 digit,1999-05-11
6267,213147052443076,12/22,JCB 15 digit,2012-01-30
6268,346724226271367,07/32,American Express,2008-04-09
6269,4253014473727370000,11/29,VISA 19 digit,2014-04-20
6270,2277483625131640,03/31,Mastercard,2022-06-19
6272,4091697986136,12/29,VISA 13 digit,2021-11-20
6273,4045977510542810,04/28,VISA 16 digit,2013-03-14
6274,4862879829596120,11/25,VISA 16 digit,2008-05-30
6275,4024483320632,02/26,VISA 13 digit,1993-07-30
6276,180056115155313,10/29,JCB 15 digit,1999-03-04
6277,4879299618785950,01/28,VISA 16 digit,2010-04-15
6278,4730509746028010000,09/32,VISA 19 digit,2015-10-26
6279,4166534447441,08/23,VISA 13 digit,1996-08-18
6280,3568000348524970,10/30,JCB 16 digit,2016-09-18
6281,377379567885762,09/28,American Express,1993-08-05
6282,6505105655508250,11/23,Discover,2006-11-19
6283,503863712561,09/28,Maestro,2019-02-22
6284,4981858342758620,05/24,VISA 16 digit,2002-08-16
6285,4582383762961810,12/24,VISA 16 digit,1996-11-22
6286,36576374442132,11/30,Diners Club / Carte Blanche,2007-01-11
6287,213134614480770,06/24,JCB 15 digit,2012-05-13
6288,6011525915573880,07/30,Discover,2021-07-09
6289,4622278952335,01/24,VISA 13 digit,1996-12-27
6290,180072499338334,12/22,JCB 15 digit,1999-08-12
6291,4901117925516,10/25,VISA 13 digit,2010-11-05
6292,630420742151,06/23,Maestro,2017-09-29
6293,180079578087344,06/26,JCB 15 digit,1995-06-23
6294,4689323706271,08/31,VISA 13 digit,2004-11-17
6295,4224278806590150000,06/29,VISA 19 digit,2000-12-15
6296,4387016434042160,04/31,VISA 16 digit,1993-05-17
6297,4467221533195010000,01/23,VISA 19 digit,2005-08-15
6298,3529925612116380,04/23,JCB 16 digit,2005-07-09
6299,3510930132915850,11/29,JCB 16 digit,2018-04-17
6300,4859007743361960,11/30,VISA 16 digit,1997-07-03
6301,3595523397797620,05/28,JCB 16 digit,2005-02-11
6302,4692759533088560000,04/30,VISA 19 digit,2004-08-12
6303,4080914928302900,01/31,VISA 16 digit,2009-04-28
6304,4032492563217230,11/31,VISA 16 digit,2017-07-12
6305,3530733408786240,05/30,JCB 16 digit,2003-07-13
6306,3587359278482070,09/28,JCB 16 digit,2013-12-31
6307,4704281875750,06/32,VISA 13 digit,2009-03-10
6308,346413672274436,11/29,American Express,1999-02-26
6309,4063514347497810,10/25,VISA 16 digit,2010-04-20
6310,4792530925526,09/24,VISA 13 digit,2005-04-08
6311,4810312345794,09/29,VISA 13 digit,2007-04-04
6312,4822083219588500000,03/26,VISA 19 digit,2009-08-23
6313,2286989938934430,05/27,Mastercard,1994-11-06
6314,4003905465355880000,01/26,VISA 19 digit,2003-01-02
6315,4518962295264,11/28,VISA 13 digit,1993-06-26
6316,4798105925061300,01/25,VISA 16 digit,1995-10-22
6317,4947131852763370,10/29,VISA 16 digit,1999-03-22
6318,4050832843720230,01/23,VISA 16 digit,2000-09-21
6319,4398018326828990,04/28,VISA 16 digit,2000-05-14
6320,6561144852541430,04/27,Discover,1993-04-25
6321,30096039992815,05/24,Diners Club / Carte Blanche,2005-07-02
6322,4570001205143,05/24,VISA 13 digit,2016-06-13
6323,3523521438449220,08/26,JCB 16 digit,2016-10-04
6324,6011871014651940,07/30,Discover,2003-03-08
6325,502022587724,01/27,Maestro,2008-02-09
6326,4297506517141,01/27,VISA 13 digit,2004-02-04
6328,3585383867509960,01/27,JCB 16 digit,2014-11-29
6329,180049120659213,08/32,JCB 15 digit,2013-09-23
6330,3528770448014090,10/29,JCB 16 digit,2010-10-02
6331,4399347673967040000,01/23,VISA 19 digit,2006-08-31
6332,4275906655123400,12/31,VISA 16 digit,1999-07-29
6333,4633599490664090,12/26,VISA 16 digit,2006-11-02
6334,4471304340540270000,04/27,VISA 19 digit,2022-04-20
6335,213131098888080,03/31,JCB 15 digit,2018-02-08
6336,3521797502824280,01/28,JCB 16 digit,2019-05-25
6337,6597654799615660,05/27,Discover,1994-10-05
6338,213129095472668,04/25,JCB 15 digit,2014-03-05
6339,4426585034564190,03/30,VISA 16 digit,2006-05-13
6340,6591747704813740,06/30,Discover,2016-11-20
6341,30294651306238,05/23,Diners Club / Carte Blanche,1997-10-09
6342,343720402055023,04/28,American Express,2016-03-09
6343,4412575794776130,06/23,VISA 16 digit,2021-10-01
6344,4525493676795230000,04/26,VISA 19 digit,2011-09-19
6345,6011120853000650,11/29,Discover,2021-08-29
6346,3584076631288400,05/25,JCB 16 digit,1999-05-18
6347,3522428291950270,08/32,JCB 16 digit,2005-12-13
6348,6598200914302330,02/32,Discover,2022-10-14
6349,4469011873896430,08/23,VISA 16 digit,2011-04-18
6350,4501585862009,05/28,VISA 13 digit,2003-10-12
6351,676173173961,03/32,Maestro,2009-12-12
6352,568460903889,08/23,Maestro,2015-11-10
6353,5100892700962460,03/26,Mastercard,2015-02-21
6354,2240955458807920,05/27,Mastercard,2014-05-22
6355,4095011212218980000,01/29,VISA 19 digit,2017-12-11
6356,676205511113,02/29,Maestro,2019-07-14
6357,4836962116535660000,10/23,VISA 19 digit,2022-09-03
6358,373392079778916,07/26,American Express,2011-03-25
6359,4527448921724,11/24,VISA 13 digit,2008-04-07
6360,347718190230044,03/29,American Express,1996-08-17
6361,3505977187048630,09/28,JCB 16 digit,2021-02-25
6362,38987271083812,08/28,Diners Club / Carte Blanche,2016-03-23
6363,3534009640494820,02/24,JCB 16 digit,2015-06-01
6364,4997316177572920,06/27,VISA 16 digit,2004-10-16
6365,5265725724119480,11/29,Mastercard,2004-10-01
6366,4520942082236280,11/31,VISA 16 digit,2015-03-21
6367,4076091716213,07/23,VISA 13 digit,2021-04-03
6368,574805807520,11/23,Maestro,2001-07-04
6369,213171125921587,12/31,JCB 15 digit,2002-08-30
6370,501873913328,01/25,Maestro,2018-04-27
6371,347933532971276,08/28,American Express,2008-06-29
6372,3557203565349620,07/23,JCB 16 digit,2013-08-29
6373,4256492636059,08/26,VISA 13 digit,2011-01-27
6374,2248416376105670,08/30,Mastercard,2015-09-20
6375,3580756005303450,09/31,JCB 16 digit,2003-01-05
6376,5320950466310390,11/24,Mastercard,2012-07-16
6377,30018928334289,11/26,Diners Club / Carte Blanche,2006-10-18
6378,4174054335285,07/29,VISA 13 digit,2000-07-20
6379,4415176510374,08/32,VISA 13 digit,2017-02-23
6380,502047935031,08/32,Maestro,1996-03-29
6381,2705654186997160,07/23,Mastercard,2022-11-08
6382,30556037610115,05/25,Diners Club / Carte Blanche,2012-05-04
6384,341667011297219,09/23,American Express,2017-06-30
6385,3588209629184670,08/27,JCB 16 digit,1998-08-16
6386,676240195617,09/29,Maestro,1997-08-12
6387,503867103585,08/31,Maestro,2017-09-29
6388,4703269457611180000,09/27,VISA 19 digit,2010-10-15
6389,3522435575441270,08/29,JCB 16 digit,1994-10-28
6390,4012042353621910,12/29,VISA 16 digit,1995-04-24
6391,36897590501414,11/28,Diners Club / Carte Blanche,1997-09-30
6392,6518621860047710,01/31,Discover,1997-01-26
6393,213175637180079,08/30,JCB 15 digit,2011-05-26
6394,502001692529,12/23,Maestro,2014-12-17
6395,4263669747602,10/26,VISA 13 digit,2000-04-10
6396,213179503871464,11/27,JCB 15 digit,1995-05-28
6397,3529891094035230,12/28,JCB 16 digit,2005-08-14
6398,4735304096072410,09/30,VISA 16 digit,2002-11-21
6399,2254187676795170,06/25,Mastercard,2003-04-22
6400,4560915416265860,04/26,VISA 16 digit,1998-04-11
6401,348271107590752,04/29,American Express,2008-08-29
6402,4894447661270140000,01/24,VISA 19 digit,2021-03-25
6403,38500629584504,12/31,Diners Club / Carte Blanche,2015-10-24
6404,4035282815136170,12/27,VISA 16 digit,1995-07-16
6405,4393277786849,03/31,VISA 13 digit,2005-06-18
6406,4967644937983520,01/27,VISA 16 digit,2010-01-23
6407,6538280049134810,11/22,Discover,2009-10-22
6408,4298395998227230,01/26,VISA 16 digit,2000-08-05
6409,4912720234428,02/28,VISA 13 digit,1997-11-13
6410,2700159787938750,02/27,Mastercard,2005-09-12
6411,180018018703839,06/31,JCB 15 digit,2019-05-17
6412,4045958253800,02/28,VISA 13 digit,2022-09-08
6413,3597805643583690,11/22,JCB 16 digit,2009-09-11
6414,6532372112778380,08/26,Discover,2013-09-13
6415,4856041667993170,12/30,VISA 16 digit,1992-12-12
6416,503844245574,03/26,Maestro,2008-09-09
6417,3559275296456090,01/28,JCB 16 digit,2012-07-05
6418,3533420980516180,06/31,JCB 16 digit,1997-10-30
6419,3598286725002810,04/23,JCB 16 digit,2004-11-19
6420,3503017894424790,03/24,JCB 16 digit,2018-01-06
6421,180035325610994,08/28,JCB 15 digit,1999-09-02
6422,4084917470437,07/28,VISA 13 digit,1992-11-28
6423,4587829158009090,01/25,VISA 16 digit,1994-03-13
6424,180002247639105,05/30,JCB 15 digit,1995-12-14
6425,344603521248118,12/25,American Express,2003-04-16
6426,6011530089478510,06/26,Discover,2013-07-04
6427,343995816958844,02/32,American Express,2001-10-26
6428,6011538158932930,04/29,Discover,2016-05-28
6429,4649963446909880,12/27,VISA 16 digit,2010-07-08
6430,4642865420304570000,08/30,VISA 19 digit,2010-11-04
6431,3563696951328260,02/30,JCB 16 digit,2005-01-19
6432,676353268250,06/28,Maestro,2005-02-26
6433,5555544169549530,06/31,Mastercard,2015-07-17
6434,501896650766,07/29,Maestro,2017-05-27
6435,4881063455006310,06/25,VISA 16 digit,2002-06-11
6436,4465295798749,04/23,VISA 13 digit,2020-09-07
6437,630467715771,09/31,Maestro,2018-09-25
6438,3577575401365510,02/26,JCB 16 digit,1994-12-13
6440,3513845872896590,01/32,JCB 16 digit,2011-10-21
6441,2227860318199800,10/31,Mastercard,2005-05-12
6442,30140703655793,09/28,Diners Club / Carte Blanche,2018-12-22
6443,378435968248478,06/28,American Express,1999-12-29
6444,6011540450441580,09/29,Discover,1995-05-05
6445,4100858447007050,01/25,VISA 16 digit,1999-08-14
6446,3560856903470250,08/31,JCB 16 digit,2022-05-06
6447,4804794602281670,05/27,VISA 16 digit,2018-07-17
6448,676153234023,11/30,Maestro,2013-06-13
6449,6557992499277450,03/28,Discover,1993-01-28
6450,343167975165336,10/31,American Express,2015-05-01
6451,6011732848473580,02/26,Discover,2015-07-24
6452,3570861910850810,05/23,JCB 16 digit,2014-02-24
6453,30108469669696,06/29,Diners Club / Carte Blanche,1998-02-21
6454,4872012088655170,11/25,VISA 16 digit,2007-12-10
6455,4555962855457,02/24,VISA 13 digit,1996-02-13
6456,4944725359279200,11/24,VISA 16 digit,2001-03-20
6457,30382736590528,08/29,Diners Club / Carte Blanche,2006-06-14
6458,38853951716792,12/30,Diners Club / Carte Blanche,2021-03-08
6459,180080891606349,08/23,JCB 15 digit,2012-10-11
6460,4574098658075940,12/23,VISA 16 digit,2004-09-19
6461,4638310737951970,09/30,VISA 16 digit,2008-02-18
6462,676389277028,01/26,Maestro,2015-08-25
6463,30028882420420,01/30,Diners Club / Carte Blanche,2000-03-10
6464,4588033761637830,02/25,VISA 16 digit,2016-04-29
6465,4567630777351,01/28,VISA 13 digit,1999-06-29
6466,4785932244586740,09/31,VISA 16 digit,2022-07-27
6467,4074047700084,08/29,VISA 13 digit,2003-08-05
6468,30324156598466,10/32,Diners Club / Carte Blanche,1997-07-06
6469,2243154312636670,12/23,Mastercard,2021-03-22
6470,4414904619614040,09/31,VISA 16 digit,1996-12-25
6471,3545070762959930,03/25,JCB 16 digit,2004-06-13
6472,580791215099,03/23,Maestro,2013-08-01
6473,3556980688338000,02/24,JCB 16 digit,2008-01-30
6474,501869793551,09/30,Maestro,2003-10-09
6475,372270381755726,08/27,American Express,2007-08-23
6476,583599745028,09/23,Maestro,1993-08-22
6477,2540973465202930,03/30,Mastercard,2005-06-22
6478,4757870977216660000,07/28,VISA 19 digit,2001-05-11
6479,562796507746,06/32,Maestro,2021-06-13
6480,4245061152507540,03/24,VISA 16 digit,2003-09-23
6481,2277523319237170,08/25,Mastercard,2007-08-17
6482,349320296524541,04/30,American Express,2004-11-06
6483,4944397262853,06/24,VISA 13 digit,2000-09-20
6484,3556771571490860,12/29,JCB 16 digit,2005-10-25
6485,2271840613554950,03/26,Mastercard,1997-04-24
6486,180063470480526,10/26,JCB 15 digit,2007-02-05
6487,2269907677238460,02/28,Mastercard,2010-06-29
6488,4518902971305,12/31,VISA 13 digit,2002-11-04
6489,675917614611,10/25,Maestro,2019-05-23
6490,213149587020825,03/27,JCB 15 digit,2010-07-20
6491,4401272537073,02/29,VISA 13 digit,1994-03-03
6492,6556575446635680,05/30,Discover,1994-03-24
6493,503828224520,12/28,Maestro,2000-10-02
6494,2348537390714460,07/31,Mastercard,1993-11-22
6496,345818041994632,11/30,American Express,2016-08-09
6497,3537068809233940,11/30,JCB 16 digit,2019-07-05
6499,3573364014298280,10/32,JCB 16 digit,2007-12-06
6500,3558154054728460,10/28,JCB 16 digit,2021-09-09
6501,4076368025076260,08/23,VISA 16 digit,2002-07-16
6502,3594129174150810,05/28,JCB 16 digit,1994-06-19
6503,5271141250786790,04/30,Mastercard,2014-06-21
6504,3575337836814430,03/30,JCB 16 digit,2017-08-25
6505,675973122749,10/23,Maestro,2006-10-04
6506,346569081426642,05/32,American Express,2009-05-03
6507,180009353599080,04/26,JCB 15 digit,1993-12-12
6508,30267381347318,02/31,Diners Club / Carte Blanche,2010-07-28
6509,4594418631023950,03/26,VISA 16 digit,1995-03-11
6510,501844222841,10/25,Maestro,2018-02-12
6511,4772571529726,01/31,VISA 13 digit,2015-04-30
6512,4482507707038,01/23,VISA 13 digit,2005-01-15
6513,4976223425064,02/27,VISA 13 digit,2011-11-09
6514,374234114407664,07/32,American Express,2003-05-28
6515,2366900229126710,12/29,Mastercard,2004-06-26
6516,4720259996642,06/29,VISA 13 digit,2005-08-08
6517,3518517566750540,06/32,JCB 16 digit,1994-04-10
6518,4752016580591,02/23,VISA 13 digit,2015-05-18
6519,4180847483867630000,07/28,VISA 19 digit,2011-10-02
6520,180077462904483,12/25,JCB 15 digit,1998-06-03
6521,4533994788937430000,03/23,VISA 19 digit,2019-06-19
6522,6544841538425090,09/26,Discover,2006-05-02
6523,4881321634172000,05/27,VISA 16 digit,2019-05-17
6524,4111296758560940,12/24,VISA 16 digit,2016-08-16
6525,5489193519526200,06/28,Mastercard,2008-03-08
6526,6557696601667760,01/31,Discover,2017-10-26
6527,2237812052679880,08/26,Mastercard,2018-11-20
6528,4027831858133120,06/29,VISA 16 digit,2007-08-16
6529,676251971674,01/24,Maestro,2010-10-22
6530,377335694863098,08/23,American Express,2014-11-04
6531,180084372854915,02/26,JCB 15 digit,2020-11-11
6532,4381241415967,05/24,VISA 13 digit,2007-12-24
6533,5200183126989930,03/32,Mastercard,2016-02-02
6534,30499183478245,04/25,Diners Club / Carte Blanche,2019-08-29
6535,566434801759,07/31,Maestro,2016-08-10
6536,180086083730607,06/29,JCB 15 digit,1994-05-06
6537,4840653624168,06/27,VISA 13 digit,1999-04-26
6538,4397833878522000,07/27,VISA 16 digit,2010-08-02
6539,6011273045266250,06/25,Discover,2009-02-22
6540,4095935392494500000,09/29,VISA 19 digit,1997-02-18
6541,379695660923715,05/30,American Express,2012-02-20
6542,348717856492533,10/26,American Express,2005-08-05
6543,4413159511531400,04/25,VISA 16 digit,2021-04-21
6544,676248439504,11/24,Maestro,2011-05-09
6545,345715919278942,12/27,American Express,2018-12-11
6546,379739513013090,10/30,American Express,2009-08-12
6547,370460121222002,07/26,American Express,2014-04-18
6548,4711909740183240,03/28,VISA 16 digit,2020-04-07
6549,4264798862842610000,09/30,VISA 19 digit,2008-02-07
6550,676193506794,03/32,Maestro,1993-05-16
6552,30447131043827,05/31,Diners Club / Carte Blanche,2012-05-29
6553,4472237010977,02/29,VISA 13 digit,1996-02-04
6554,4938788317663260,12/25,VISA 16 digit,2008-05-19
6555,639080694602,09/30,Maestro,2008-01-25
6556,4482257491893050000,01/30,VISA 19 digit,1995-10-29
6557,502057251097,06/30,Maestro,1995-04-21
6558,348776501166546,06/30,American Express,2006-09-10
6559,4328556246441700,10/23,VISA 16 digit,1999-02-21
6560,4943694445211,10/30,VISA 13 digit,2011-07-12
6561,30007675935562,03/26,Diners Club / Carte Blanche,2010-11-06
6562,3550609410021640,12/29,JCB 16 digit,2000-08-01
6563,2605638676284720,09/24,Mastercard,2020-08-02
6564,213125410335192,02/28,JCB 15 digit,2020-09-27
6565,4764787178352250000,01/28,VISA 19 digit,2000-10-03
6566,4677320535125440,04/24,VISA 16 digit,1998-03-17
6567,30459008267744,05/26,Diners Club / Carte Blanche,2020-08-02
6568,2540214424836250,06/30,Mastercard,2002-02-18
6569,3516281771887520,06/30,JCB 16 digit,2021-11-02
6570,6529426699266050,09/28,Discover,1998-06-12
6571,6011874059760180,04/25,Discover,2014-08-14
6572,4549098232991440,03/23,VISA 16 digit,2000-08-01
6573,213132981220118,08/27,JCB 15 digit,2006-06-19
6574,3513287040777300,06/23,JCB 16 digit,2010-09-19
6575,4631187638312930,08/25,VISA 16 digit,1997-08-02
6576,3562788043854810,11/27,JCB 16 digit,2003-04-16
6577,2289198051085270,11/29,Mastercard,2000-03-19
6578,3534008113136150,04/24,JCB 16 digit,2010-04-22
